title,date,content
여러 사이트를 보다가 카드 할인까지 받아서 새벽에 ...,21.07.12.,"여러 사이트를 보다가 카드 할인까지 받아서 새벽에 결제하여 샀는데…

오후에 열어보니 금액이 좀 더 내려가 있더군요

좀 속상했지만 좋은 제품을 구입하게 되어 그냥 넘어가기로…

넓어진 냉장고를 보면 절로 흐뭇하네요

앞으로도 좋은 가격으로 준비해 주세요^^

감사해요~"
기존에 쓰고있던 고물(?)냉장고가 갑자기 고장이 나버리,21.03.23.,"기존에 쓰고있던 고물(?)냉장고가 갑자기 고장이 나버리는 바람에 급하게 구매하게 된 LG 디오스 4도어 양문형냉장고~
요청사항에 별도로 희망 배송일을 작성하지 않고 최대한 빨리 배송해달라고 기재 후 주문하였습니다!
주문당시 설 연휴 기간이 겹쳐서 3-4주는 기다려야 한다고 하길래 마음 비우고 있었는데 2주째에 받게 된 냉장고! (도착 전주에 알림톡이 옵니다!)
배송 당일 아침에 기사님과 통화하면서 배송시간 확인했고, 저희 아파트는 현관문으로 배송 가능하다고 하셔서 사다리차는 이용하지 않았습니다

현관문 밖에 멀뚱히 있는 냉장고를 보고 처음 든 생각 : 이거 생각보다 너무 큰데.. 이게 현관문으로 어떻게 들어와..? 했는데 들어오더라구요..
뚝딱뚝딱 설치하고 친절하게 기능도 설명해주시고 사라지신 베테랑 기사님들,,

지금 몇주째 쓰고있는데 이제는 크다는 느낌도 안들어요~ !
옵션이 별로 없는게 아쉽지만 이 가격에 더한 옵션을 바란다면 욕심 아닐까요..? !

??기사님께 확인해야 하는 것??
- 폐가전 수거 여부
Q&A에는 같은종류만 수거 가능하다고 되어있지만 4도어 아닌데도 수거 O
* 지역/기사님마다 다를 수 있으니 통화 시 꼭 확인하기!

- 사다리차 사용 여부
엘리베이터, 현관문 크기에 따라 달라질 수 있으니 이것도 기사님께 확인하기!"
15년 정도 사용한 냉장고가 갑자기 고장나서 구매했는데 가격도 저렴하고 좋은 냉장고를 산 것 같아서 좋아요배송일에 전화와서 기사분과 통화했는데엘레베이터 공사중이라 사다리차를 이용해,21.07.09.,"15년 정도 사용한 냉장고가 갑자기 고장나서 구매했는데 가격도 저렴하고 좋은 냉장고를 산 것 같아서 좋아요

배송일에 전화와서 기사분과 통화했는데
엘레베이터 공사중이라 사다리차를 이용해야한다고 말씀드렸더니 사다리차 이용시 당일예약은 힘들다고 하셨어요 그래서 다음날 다시 연락드려서 사다리차로 냉장고 받았어요 설치기사분도 친절하시고 이쁜 냉장고 받아서 좋아요"
이사를 했는데 잘 되던 기존 냉장고가 새집에 가자마자,21.01.15.,"이사를 했는데 잘 되던 기존 냉장고가 새집에 가자마자 망가졌습니다. 전에 오래 썼던 그 냉장고도 디오스였어요.
급히 냉장고를 구매하려 엘지 베스트샵 매장에 갔더니 (물론 더 고성능 제품들만 있겠지만) 가격대가 보통 300만원대 근처더군요... 매장에서 구매하는 건 포기하고 집으로 돌아와 비슷한 제품을 인터넷으로 알아보고 주문했어요.
지난해 12월 30일에 주문하고 이틀 지나보니 쿠폰이 적용되지 않아 가격차이가 10만원가량 차이나는 것을 확인하고 취소 후 1월 2일에 재주문 했어요. 몇만원도 아니고 10만원 차이가 나서 어쩔수 없었습니다.
배송일을 지정하려 고객센터에 연락해보니 1월 16일까지는 배송이 어렵다고 해서 다음주에나 오려나 하고 기다렸습니다. 그러다 14일 낮에 문자가 오고 15일 오전에 기사님께서 직접 연락 주셔서 시간 조율하고 설치 받았습니다.
기사님은 아침에 시간약속 할때도 전화주시더니 친절하게 오시기 약 1시간 전쯤 기존 냉장고 안에 내용물 미리 비워달라고 다시 연락 주셨어요. 어차피 망가진 상태여서 속에 든건 많지 ?았지만 세심한 배려에 감사했습니다.
기존에 썼던 2도어 좌냉동 우냉장이 아닌 4도어에 상냉장 하냉동 방식으로 된 .
사용해봐야 알겠지만 디오스 이름만으로도 믿음이 가네요. 기다렸다 받은만큼 좋네요."
엄마집 선물도 드렸어요. 생각했던거 보다 배송이 빨리,21.08.08.,"엄마집 선물도 드렸어요.
생각했던거 보다 배송이 빨리 와서 좋았어요.
냉장고 문 분리하는게 싫어서 사다리차 하겠다고 했는데,
배달기사님이 대부분 분리해서 ?긴다고 하여 그렇게 했어요.
긍데 왼쪽 위 문 부분이 살짝 떠서 기사님 한번더 방문 했다고 해요. 문짝 문리후 조립했을때 확인 해보능게 좋을거 같아요~
요즘 냉장고 다 비싼데 보급형으로 한국에서 만들었고 잘 나온 제품인가 같아요.
만족합니다~"
주문전에 보니 주문부터 배송까지 약 3주 정도 걸린다고,21.02.10.,"주문전에 보니 주문부터 배송까지 약 3주 정도 걸린다고 듣고 주문했는데, 주문하고 딱 10일 만에 도착했어요. 좀 더 늦으면 어떡하나 싶었는데 다행이도 설 전에 와서 좋은 선물이 된 것 같습니다. 설치시간도 잘 맞춰서 와주시고 잘 설치해 주고 가셨습니다 :) 냉장고 상하부 전체적인 크기도 맘에들고 특히 튀지않는 디자인+색상이라 무난해서 맘에들어요. 기존에 쓰던 냉장고도 작은편은 아니었는데 충분히 넓고 많이 들어가는 느낌입니다. 좌측 하단 냉동실을 보니 아이스메이커가 있어서 여름에 유용하게 쓸 수 있겠지만, 이 칸에는 얼음 외에는 못 넣을것 같아서 아주 살짝 아쉬운 부분은 있구요(저는 잘 사용하지는 않는 부분일것 같은 개인적인 생각) 그 외 칸과 냉동실 우측은 전체적으로 수납을 많이 할 수 있게 되어 있어서 사진과 같다고 생각하심 될 것 같습니다. 냉장실 또한 보여지는 사진과 동일하고 문에 있는 칸 속에 또 칸이 있어서 구분지어 넣을 수 있는 장점이 보이네요 ㅎㅎ 야채실 등도 분리되어 있어 앞으로 .^^"
결혼하고 샀던 냉장고가 고장이나,21.05.09.,결혼하고 샀던 냉장고가 고장이나서 급하게 샀는데 너무 만족스럽습니다 홉바쓰다 없는게 좀 불편힌긴하지만 곧 익숙해지겠죠 4도어라 수납이 걱정스러웠는데 쓰다보면 이것또한 적응되겠죠? 새냉장고라 뭐든 만족스럽스럽습니다 좁은집이라 문짝떼고 들고 들어오셔서 수평계써서 수평맞추시고 설치기사님들도 꼼꼼하게 잘해주셔서 좋았습니다 딸램이 새냉장고라 청소합니다
최고예요,21.09.13.,"주문하고 4일만에 제품 받았습니다.추가비용 없이 사다리차와 폐가전 수거 감사하고요.작년에 제작한 제품이지만일반 OFF라인 매장에서는 신형 모델만 취급해서가격이 100만원 이상은 더 차이가 났네요.. 물론 다른 모델 제품 기준으로요!개인적으로는 잘 산거 같습니다.냉장고 용량과 가격,제품 상태 모두 만족합니다."
냉장고의 전체적인 용량이 크고 에너지,21.02.18.,냉장고의 전체적인 용량이 크고 에너지효율도 1등급이라 좋습니다. 그런데 문에 달린 선반이 이중인지라 수납은 많이 되 좋지만 열고 닫을때마다 많이 흔들리고 소리가 나요. 댐퍼기능이 없으니 더 그런 듯. 빽빽히 뭘 채워 넣으면 안그럴지 모르겠으나 지금은 분명히 세워놨던 병들도 문을 열어보면 작은것들은 몇개씩 누워있네요.
냉장고 오래되서 바꿨어요! 1등급중에 가장 저렴+후기,21.07.30.,"냉장고 오래되서 바꿨어요!
1등급중에 가장 저렴+후기좋아서 구입

설치도 구입하고 3일정도만에 처리해주신듯!


바있는거 쓰다가 없으니까 좀 낯설긴한데
비스포크나 시그니처 살 거 아니면 괜찮은 선택인듯요
지문도 별로안남구"
